Ilość punktów dla zbioru; Czas obliczeń dla algorytmu Grahama (ms);Czas obliczeń dla algorytmu Jarvisa (ms);Punkty na otoczce
10000;15,04ms;135,27ms;21
15000;23,55ms;264,31ms;28
20000;31,91ms;283,29ms;23
25000;42,64ms;474,69ms;31
30000;45,53ms;387,96ms;21
35000;51,65ms;649,8ms;31
40000;61,37ms;712,71ms;29
45000;69,93ms;644,21ms;24
50000;75,54ms;890,75ms;30
55000;87,18ms;962,17ms;29
60000;91,22ms;899,88ms;25
65000;103,25ms;1,25s;30
70000;111,18ms;1,36s;32
75000;117,37ms;1,29s;28
80000;122,9ms;1,44s;30
85000;134,18ms;1,78s;35
90000;141,27ms;1,66s;32
95000;149,44ms;1,6s;29
