Iloœæ punktów dla zbioru; Czas obliczeñ dla algorytmu Grahama (ms);Czas obliczeñ dla algorytmu Jarvisa (ms);Punkty na otoczce
10000;12,03ms;43,0ms;6
15000;20,97ms;76,0ms;6
20000;23,0ms;82,48ms;6
25000;31,51ms;112,03ms;6
30000;50,0ms;149,02ms;6
35000;45,0ms;157,97ms;6
40000;53,0ms;165,0ms;6
45000;61,99ms;198,03ms;6
50000;71,0ms;228,87ms;6
55000;77,0ms;227,0ms;6
60000;101,97ms;272,0ms;6
65000;96,99ms;272,51ms;6
70000;97,51ms;339,09ms;6
75000;102,03ms;386,01ms;6
80000;101,03ms;350,35ms;6
85000;106,03ms;364,0ms;6
90000;116,03ms;370,07ms;6
95000;128,97ms;448,64ms;6
